repo_name,user_name,repo_url,no_stars
three.js,mrdoob,https://github.com/mrdoob/three.js,74700
libgdx,libgdx,https://github.com/libgdx/libgdx,19000
react-three-fiber,pmndrs,https://github.com/pmndrs/react-three-fiber,15200
Babylon.js,BabylonJS,https://github.com/BabylonJS/Babylon.js,15000
aframe,aframevr,https://github.com/aframevr/aframe,13100
tinyrenderer,ssloy,https://github.com/ssloy/tinyrenderer,11300
3d-game-shaders-for-beginners,lettier,https://github.com/lettier/3d-game-shaders-for-beginners,11200
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,10000
zdog,metafizzy,https://github.com/metafizzy/zdog,8800
cesium,CesiumGS,https://github.com/CesiumGS/cesium,7500
3D-Machine-Learning,timzhang642,https://github.com/timzhang642/3D-Machine-Learning,7100
SpaceshipGenerator,a1studmuffin,https://github.com/a1studmuffin/SpaceshipGenerator,6900
Open3D,isl-org,https://github.com/isl-org/Open3D,5500
spritejs,spritejs,https://github.com/spritejs/spritejs,4600
tensorspace,tensorspace-team,https://github.com/tensorspace-team/tensorspace,4500
webglstudio.js,jagenjo,https://github.com/jagenjo/webglstudio.js,4400
PRNet,YadiraF,https://github.com/YadiraF/PRNet,4400
vrn,AaronJackson,https://github.com/AaronJackson/vrn,4400
BlenderGIS,domlysz,https://github.com/domlysz/BlenderGIS,4400
openscad,openscad,https://github.com/openscad/openscad,4300
tinyraytracer,ssloy,https://github.com/ssloy/tinyraytracer,3900
magnum,mosra,https://github.com/mosra/magnum,3700
blender,blender,https://github.com/blender/blender,3500
model-viewer,google,https://github.com/google/model-viewer,3400
webgl-fundamentals,gfxfundamentals,https://github.com/gfxfundamentals/webgl-fundamentals,3200
3DDFA,cleardusk,https://github.com/cleardusk/3DDFA,3100
isometric-contributions,jasonlong,https://github.com/jasonlong/isometric-contributions,3000
rg3d,rg3dengine,https://github.com/rg3dengine/rg3d,2800
meshlab,cnr-isti-vclab,https://github.com/cnr-isti-vclab/meshlab,2400
L7,antvis,https://github.com/antvis/L7,2400
