repo_name,user_name,repo_url,no_stars
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,9900
AspNetCore.Docs,dotnet,https://github.com/dotnet/AspNetCore.Docs,9700
server,bitwarden,https://github.com/bitwarden/server,8300
Electron.NET,ElectronNET,https://github.com/ElectronNET/Electron.NET,5900
NSwag,RicoSuter,https://github.com/RicoSuter/NSwag,4600
clean-code-dotnet,thangchung,https://github.com/thangchung/clean-code-dotnet,4200
ImageProcessor,JimBobSquarePants,https://github.com/JimBobSquarePants/ImageProcessor,2400
SmartStoreNET,smartstore,https://github.com/smartstore/SmartStoreNET,2300
aspnet-api-versioning,dotnet,https://github.com/dotnet/aspnet-api-versioning,2100
BaGet,loic-sharma,https://github.com/loic-sharma/BaGet,1800
aspnetcore-angular-universal,TrilonIO,https://github.com/TrilonIO/aspnetcore-angular-universal,1500
Awesome-Microservices-NetCore,mjebrahimi,https://github.com/mjebrahimi/Awesome-Microservices-NetCore,1400
aspnetcore-Vue-starter,TrilonIO,https://github.com/TrilonIO/aspnetcore-Vue-starter,1200
DncZeus,lampo1024,https://github.com/lampo1024/DncZeus,1200
csla,MarimerLLC,https://github.com/MarimerLLC/csla,948
dotvvm,riganti,https://github.com/riganti/dotvvm,566
aspnet-core-3-jwt-authentication-api,cornflourblue,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,551
SharPyShell,antonioCoco,https://github.com/antonioCoco/SharPyShell,479
mvcarchitecture,chsakell,https://github.com/chsakell/mvcarchitecture,445
Gofer.NET,brthor,https://github.com/brthor/Gofer.NET,414
YAFNET,YAFNET,https://github.com/YAFNET/YAFNET,404
rrod,Maarten88,https://github.com/Maarten88/rrod,377
SapphireDb,SapphireDb,https://github.com/SapphireDb/SapphireDb,352
BlazorTable,IvanJosipovic,https://github.com/IvanJosipovic/BlazorTable,336
WebMarkupMin,Taritsyn,https://github.com/Taritsyn/WebMarkupMin,334
aspnetcore-vueclimiddleware,EEParker,https://github.com/EEParker/aspnetcore-vueclimiddleware,293
aspnet-core-identity,chsakell,https://github.com/chsakell/aspnet-core-identity,289
datatables.aspnet,ALMMa,https://github.com/ALMMa/datatables.aspnet,282
aspnet-core-jwt-authentication-api,cornflourblue,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api,276
electron.net-api-demos,ElectronNET,https://github.com/ElectronNET/electron.net-api-demos,252
