repo_name,user_name,repo_url,no_stars
coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,194000
CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,139000
javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,122000
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,119000
tech-interview-handbook,yangshun,https://github.com/yangshun/tech-interview-handbook,59700
interviews,kdn251,https://github.com/kdn251/interviews,54100
leetcode,azl397985856,https://github.com/azl397985856/leetcode,44400
Java,TheAlgorithms,https://github.com/TheAlgorithms/Java,41200
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,35500
JCSprout,crossoverJie,https://github.com/crossoverJie/JCSprout,26400
interactive-coding-challenges,donnemartin,https://github.com/donnemartin/interactive-coding-challenges,23800
interview,huihut,https://github.com/huihut/interview,20700
LeetCode-Go,halfrost,https://github.com/halfrost/LeetCode-Go,20500
algorithms,keon,https://github.com/keon/algorithms,19800
homemade-machine-learning,trekhleb,https://github.com/trekhleb/homemade-machine-learning,18400
WaveFunctionCollapse,mxgmn,https://github.com/mxgmn/WaveFunctionCollapse,16900
leetcode-master,youngyangyang04,https://github.com/youngyangyang04/leetcode-master,16600
C-Plus-Plus,TheAlgorithms,https://github.com/TheAlgorithms/C-Plus-Plus,16000
Javascript,TheAlgorithms,https://github.com/TheAlgorithms/Javascript,15000
PythonRobotics,AtsushiSakai,https://github.com/AtsushiSakai/PythonRobotics,13300
cosmos,OpenGenus,https://github.com/OpenGenus/cosmos,12800
algorithm-pattern,greyireland,https://github.com/greyireland/algorithm-pattern,12700
Algorithms,williamfiset,https://github.com/williamfiset/Algorithms,11000
apachecn-algo-zh,apachecn,https://github.com/apachecn/apachecn-algo-zh,10400
Halfrost-Field,halfrost,https://github.com/halfrost/Halfrost-Field,9500
awesome-competitive-programming,lnishan,https://github.com/lnishan/awesome-competitive-programming,8900
awesome-java-leetcode,Blankj,https://github.com/Blankj/awesome-java-leetcode,8200
algorithms,jeffgerickson,https://github.com/jeffgerickson/algorithms,7400
javascript-algorithms,mgechev,https://github.com/mgechev/javascript-algorithms,6900
vscode-leetcode,LeetCode-OpenSource,https://github.com/LeetCode-OpenSource/vscode-leetcode,6800
