repo_name,user_name,repo_url,no_stars
serverless,serverless,https://github.com/serverless/serverless,40900
localstack,localstack,https://github.com/localstack/localstack,34300
data-science-ipython-notebooks,donnemartin,https://github.com/donnemartin/data-science-ipython-notebooks,21700
devops-exercises,bregman-arie,https://github.com/bregman-arie/devops-exercises,17200
awesome-kubernetes,ramitsurana,https://github.com/ramitsurana/awesome-kubernetes,12100
aws-cli,aws,https://github.com/aws/aws-cli,11500
kubespray,kubernetes-sigs,https://github.com/kubernetes-sigs/kubespray,11300
pulumi,pulumi,https://github.com/pulumi/pulumi,10100
awesome-aws,donnemartin,https://github.com/donnemartin/awesome-aws,9800
cas,apereo,https://github.com/apereo/cas,9000
amplify-js,aws-amplify,https://github.com/aws-amplify/amplify-js,8400
up,apex,https://github.com/apex/up,8400
chalice,aws,https://github.com/aws/chalice,8300
sops,mozilla,https://github.com/mozilla/sops,8300
serverless-application-model,aws,https://github.com/aws/serverless-application-model,8200
go-cloud,google,https://github.com/google/go-cloud,8000
caprover,caprover,https://github.com/caprover/caprover,7700
cortex,cortexlabs,https://github.com/cortexlabs/cortex,7600
aws-cdk,aws,https://github.com/aws/aws-cdk,7500
aws-sdk-go,aws,https://github.com/aws/aws-sdk-go,7100
openvpn-install,angristan,https://github.com/angristan/openvpn-install,6800
aws-sdk-js,aws,https://github.com/aws/aws-sdk-js,6800
boto3,boto,https://github.com/boto/boto3,6700
terraform-provider-aws,hashicorp,https://github.com/hashicorp/terraform-provider-aws,6400
aws-shell,awslabs,https://github.com/awslabs/aws-shell,6300
amazon-sagemaker-examples,aws,https://github.com/aws/amazon-sagemaker-examples,6100
terraformer,GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/terraformer,5800
aws-sam-cli,aws,https://github.com/aws/aws-sam-cli,5700
terratest,gruntwork-io,https://github.com/gruntwork-io/terratest,5600
dev-setup,donnemartin,https://github.com/donnemartin/dev-setup,5500
