repo_name,user_name,repo_url,no_stars
amp,amphp,https://github.com/amphp/amp,3400
MadelineProto,danog,https://github.com/danog/MadelineProto,1700
http-server,amphp,https://github.com/amphp/http-server,1100
telegram-api,unreal4u,https://github.com/unreal4u/telegram-api,671
http-client,amphp,https://github.com/amphp/http-client,579
parallel,amphp,https://github.com/amphp/parallel,520
service-bus,php-service-bus,https://github.com/php-service-bus/service-bus,301
mysql,amphp,https://github.com/amphp/mysql,247
byte-stream,amphp,https://github.com/amphp/byte-stream,242
parallel-functions,amphp,https://github.com/amphp/parallel-functions,196
process,amphp,https://github.com/amphp/process,138
socket,amphp,https://github.com/amphp/socket,135
redis,amphp,https://github.com/amphp/redis,116
acme,kelunik,https://github.com/kelunik/acme,104
dns,amphp,https://github.com/amphp/dns,95
mailgrab,PeeHaa,https://github.com/PeeHaa/mailgrab,91
websocket-client,amphp,https://github.com/amphp/websocket-client,90
sync,amphp,https://github.com/amphp/sync,80
asynit,jolicode,https://github.com/jolicode/asynit,67
websocket-server,amphp,https://github.com/amphp/websocket-server,65
postgres,amphp,https://github.com/amphp/postgres,58
file,amphp,https://github.com/amphp/file,57
cache,amphp,https://github.com/amphp/cache,55
beanstalk,amphp,https://github.com/amphp/beanstalk,55
windows-registry,amphp,https://github.com/amphp/windows-registry,52
hpack,amphp,https://github.com/amphp/hpack,50
serialization,amphp,https://github.com/amphp/serialization,50
ridge,phpinnacle,https://github.com/phpinnacle/ridge,42
aerys,amphp,https://github.com/amphp/aerys,41
Jeeves,Room-11,https://github.com/Room-11/Jeeves,40
