repo_name,user_name,repo_url,no_stars
flutter,flutter,https://github.com/flutter/flutter,131000
free-programming-books-zh_CN,justjavac,https://github.com/justjavac/free-programming-books-zh_CN,83200
scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,55300
Awesome-Hacking,Hack-with-Github,https://github.com/Hack-with-Github/Awesome-Hacking,46100
material-design-icons,google,https://github.com/google/material-design-icons,44000
awesome-android-ui,wasabeef,https://github.com/wasabeef/awesome-android-ui,41400
okhttp,square,https://github.com/square/okhttp,40900
architecture-samples,android,https://github.com/android/architecture-samples,39600
retrofit,square,https://github.com/square/retrofit,38800
awesome-flutter,Solido,https://github.com/Solido/awesome-flutter,37700
MPAndroidChart,PhilJay,https://github.com/PhilJay/MPAndroidChart,34000
fastlane,fastlane,https://github.com/fastlane/fastlane,33000
shadowsocks-android,shadowsocks,https://github.com/shadowsocks/shadowsocks-android,31900
lottie-android,airbnb,https://github.com/airbnb/lottie-android,31900
glide,bumptech,https://github.com/bumptech/glide,31800
android-open-project,Trinea,https://github.com/Trinea/android-open-project,30800
AndroidUtilCode,Blankj,https://github.com/Blankj/AndroidUtilCode,29900
gold-miner,xitu,https://github.com/xitu/gold-miner,29600
ijkplayer,bilibili,https://github.com/bilibili/ijkplayer,29500
zxing,zxing,https://github.com/zxing/zxing,28400
android_guides,codepath,https://github.com/codepath/android_guides,27500
jadx,skylot,https://github.com/skylot/jadx,27300
leakcanary,square,https://github.com/square/leakcanary,26800
joplin,laurent22,https://github.com/laurent22/joplin,25600
fastjson,alibaba,https://github.com/alibaba/fastjson,23800
SmartRefreshLayout,scwang90,https://github.com/scwang90/SmartRefreshLayout,23000
BaseRecyclerViewAdapterHelper,CymChad,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,22300
react-native-elements,react-native-elements,https://github.com/react-native-elements/react-native-elements,21400
iosched,google,https://github.com/google/iosched,20800
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,20500
