repo_name,user_name,repo_url,no_stars
free-programming-books-zh_CN,justjavac,https://github.com/justjavac/free-programming-books-zh_CN,83200
angular,angular,https://github.com/angular/angular,76800
storybook,storybookjs,https://github.com/storybookjs/storybook,65099
ionic-framework,ionic-team,https://github.com/ionic-team/ionic-framework,45400
33-js-concepts,leonardomso,https://github.com/leonardomso/33-js-concepts,43700
prettier,prettier,https://github.com/prettier/prettier,40700
sheetjs,SheetJS,https://github.com/SheetJS/sheetjs,27400
angular-cli,angular,https://github.com/angular/angular-cli,25000
components,angular,https://github.com/angular/components,22100
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,20500
tabby,Eugeny,https://github.com/Eugeny/tabby,19500
generator-jhipster,jhipster,https://github.com/jhipster/generator-jhipster,18900
handsontable,handsontable,https://github.com/handsontable/handsontable,15700
bit,teambit,https://github.com/teambit/bit,14100
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,13600
javascript-testing-best-practices,goldbergyoni,https://github.com/goldbergyoni/javascript-testing-best-practices,13300
mean,linnovate,https://github.com/linnovate/mean,12100
coreui-free-bootstrap-admin-template,coreui,https://github.com/coreui/coreui-free-bootstrap-admin-template,11000
codesandbox-client,codesandbox,https://github.com/codesandbox/codesandbox-client,10900
angular-starter,PatrickJS,https://github.com/PatrickJS/angular-starter,10400
PeerTube,Chocobozzz,https://github.com/Chocobozzz/PeerTube,9700
protractor,angular,https://github.com/angular/protractor,8800
nx,nrwl,https://github.com/nrwl/nx,8700
OnsenUI,OnsenUI,https://github.com/OnsenUI/OnsenUI,8500
awesome-angular,PatrickJS,https://github.com/PatrickJS/awesome-angular,8100
text-mask,text-mask,https://github.com/text-mask/text-mask,8100
ng-bootstrap,ng-bootstrap,https://github.com/ng-bootstrap/ng-bootstrap,7800
ng-zorro-antd,NG-ZORRO,https://github.com/NG-ZORRO/ng-zorro-antd,7700
graphql-code-generator,dotansimha,https://github.com/dotansimha/graphql-code-generator,7600
ag-grid,ag-grid,https://github.com/ag-grid/ag-grid,7600
