repo_name,user_name,repo_url,no_stars
Tasmota,arendst,https://github.com/arendst/Tasmota,16200
johnny-five,rwaldron,https://github.com/rwaldron/johnny-five,12400
Arduino,arduino,https://github.com/arduino/Arduino,12100
Marlin,MarlinFirmware,https://github.com/MarlinFirmware/Marlin,11900
esp8266_deauther,SpacehuhnTech,https://github.com/SpacehuhnTech/esp8266_deauther,9000
tinygo,tinygo-org,https://github.com/tinygo-org/tinygo,8700
arduino-esp32,espressif,https://github.com/espressif/arduino-esp32,7400
gobot,hybridgroup,https://github.com/hybridgroup/gobot,7400
lowlevelprogramming-university,gurugio,https://github.com/gurugio/lowlevelprogramming-university,7100
platformio-core,platformio,https://github.com/platformio/platformio-core,5400
ArduinoJson,bblanchon,https://github.com/bblanchon/ArduinoJson,5400
WiFiManager,tzapu,https://github.com/tzapu/WiFiManager,4800
cylon,hybridgroup,https://github.com/hybridgroup/cylon,3800
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3400
blynk-library,blynkkk,https://github.com/blynkkk/blynk-library,3200
arduino-cli,arduino,https://github.com/arduino/arduino-cli,3100
nectarjs,NectarJS,https://github.com/NectarJS/nectarjs,3100
u8g2,olikraus,https://github.com/olikraus/u8g2,2600
PJON,gioblu,https://github.com/gioblu/PJON,2600
OpenMQTTGateway,1technophile,https://github.com/1technophile/OpenMQTTGateway,2300
audio-reactive-led-strip,scottlawsonbc,https://github.com/scottlawsonbc/audio-reactive-led-strip,2100
OpenBot,isl-org,https://github.com/isl-org/OpenBot,2000
IRremoteESP8266,crankyoldgit,https://github.com/crankyoldgit/IRremoteESP8266,1900
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,1900
splitflap,scottbez1,https://github.com/scottbez1/splitflap,1900
RF24,nRF24,https://github.com/nRF24/RF24,1800
Arduino_Core_STM32,stm32duino,https://github.com/stm32duino/Arduino_Core_STM32,1700
esp8266-oled-ssd1306,ThingPulse,https://github.com/ThingPulse/esp8266-oled-ssd1306,1500
blinker-library,blinker-iot,https://github.com/blinker-iot/blinker-library,1500
TFT_eSPI,Bodmer,https://github.com/Bodmer/TFT_eSPI,1500
