repo_name,user_name,repo_url,no_stars
atom,atom,https://github.com/atom/atom,56100
themer,themerdev,https://github.com/themerdev/themer,4400
hydrogen,nteract,https://github.com/nteract/hydrogen,3700
markdown-preview-enhanced,shd101wyy,https://github.com/shd101wyy/markdown-preview-enhanced,3400
v2,miniflux,https://github.com/miniflux/v2,3100
teletype,atom,https://github.com/atom/teletype,2300
awesome-atom,mehcode,https://github.com/mehcode/awesome-atom,1900
gofeed,mmcdole,https://github.com/mmcdole/gofeed,1700
go-plus,joefitzgerald,https://github.com/joefitzgerald/go-plus,1500
atom-beautify,Glavin001,https://github.com/Glavin001/atom-beautify,1500
simplepie,simplepie,https://github.com/simplepie/simplepie,1400
atom-vim-mode-plus,t9md,https://github.com/t9md/atom-vim-mode-plus,1400
merlin,ocaml,https://github.com/ocaml/merlin,1400
feedparser,kurtmckee,https://github.com/kurtmckee/feedparser,1300
MagicPython,MagicStack,https://github.com/MagicStack/MagicPython,1300
apm,atom,https://github.com/atom/apm,1200
atom,file-icons,https://github.com/file-icons/atom,1200
atomic-layout,kettanaito,https://github.com/kettanaito/atomic-layout,1000
github,atom,https://github.com/atom/github,962
FeedKit,nmdias,https://github.com/nmdias/FeedKit,934
atomic-chrome,danhper,https://github.com/danhper/atomic-chrome,929
atom-one-dark-terminal,nathanbuchar,https://github.com/nathanbuchar/atom-one-dark-terminal,923
seti-ui,jesseweed,https://github.com/jesseweed/seti-ui,876
kotlin-language-server,fwcd,https://github.com/fwcd/kotlin-language-server,784
prettier-atom,prettier,https://github.com/prettier/prettier-atom,764
lucario,raphamorim,https://github.com/raphamorim/lucario,726
atom-script,atom-community,https://github.com/atom-community/atom-script,725
cypht,jasonmunro,https://github.com/jasonmunro/cypht,673
jekyll-feed,jekyll,https://github.com/jekyll/jekyll-feed,663
liferea,lwindolf,https://github.com/lwindolf/liferea,655
