repo_name,user_name,repo_url,no_stars
awesome,sindresorhus,https://github.com/sindresorhus/awesome,171000
awesome-python,vinta,https://github.com/vinta/awesome-python,103000
awesome-go,avelino,https://github.com/avelino/awesome-go,68700
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,64599
the-book-of-secret-knowledge,trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,49800
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,49600
HelloGitHub,521xueweihan,https://github.com/521xueweihan/HelloGitHub,47200
Awesome-Hacking,Hack-with-Github,https://github.com/Hack-with-Github/Awesome-Hacking,46100
awesome-mac,jaywcjlove,https://github.com/jaywcjlove/awesome-mac,45600
awesome-interview-questions,DopplerHQ,https://github.com/DopplerHQ/awesome-interview-questions,43600
awesome-nodejs,sindresorhus,https://github.com/sindresorhus/awesome-nodejs,42600
awesome-android-ui,wasabeef,https://github.com/wasabeef/awesome-android-ui,41400
awesome-ios,vsouza,https://github.com/vsouza/awesome-ios,38300
awesome-courses,prakhar1989,https://github.com/prakhar1989/awesome-courses,38200
awesome-flutter,Solido,https://github.com/Solido/awesome-flutter,37700
awesome-scalability,binhnguyennus,https://github.com/binhnguyennus/awesome-scalability,36100
awesome-for-beginners,MunGell,https://github.com/MunGell/awesome-for-beginners,35300
awesome-cpp,fffaraz,https://github.com/fffaraz/awesome-cpp,33700
github-cheat-sheet,tiimgreen,https://github.com/tiimgreen/github-cheat-sheet,33300
frontend-dev-bookmarks,dypsilon,https://github.com/dypsilon/frontend-dev-bookmarks,32600
awesome-java,akullpp,https://github.com/akullpp/awesome-java,30000
open-source-ios-apps,dkhamsing,https://github.com/dkhamsing/open-source-ios-apps,28300
open-source-mac-os-apps,serhii-londar,https://github.com/serhii-londar/open-source-mac-os-apps,28300
awesome-react-components,brillout,https://github.com/brillout/awesome-react-components,28200
awesome-php,ziadoz,https://github.com/ziadoz/awesome-php,25800
awesome-macos-command-line,herrbischoff,https://github.com/herrbischoff/awesome-macos-command-line,25600
Awesome-Design-Tools,goabstract,https://github.com/goabstract/Awesome-Design-Tools,23500
awesome-shell,alebcay,https://github.com/alebcay/awesome-shell,22200
awesome-rust,rust-unofficial,https://github.com/rust-unofficial/awesome-rust,22100
awesome-electron,sindresorhus,https://github.com/sindresorhus/awesome-electron,22000
