repo_name,user_name,repo_url,no_stars
devops-exercises,bregman-arie,https://github.com/bregman-arie/devops-exercises,17200
awesome-kubernetes,ramitsurana,https://github.com/ramitsurana/awesome-kubernetes,12100
recommenders,microsoft,https://github.com/microsoft/recommenders,11400
azure-quickstart-templates,Azure,https://github.com/Azure/azure-quickstart-templates,10900
pulumi,pulumi,https://github.com/pulumi/pulumi,10100
sops,mozilla,https://github.com/mozilla/sops,8300
computervision-recipes,microsoft,https://github.com/microsoft/computervision-recipes,8100
go-cloud,google,https://github.com/google/go-cloud,8000
caprover,caprover,https://github.com/caprover/caprover,7700
azuredatastudio,microsoft,https://github.com/microsoft/azuredatastudio,6500
formidable,node-formidable,https://github.com/node-formidable/formidable,6000
midway,midwayjs,https://github.com/midwayjs/midway,4800
clean-code-dotnet,thangchung,https://github.com/thangchung/clean-code-dotnet,4200
infracost,infracost,https://github.com/infracost/infracost,4100
docker-android,budtmo,https://github.com/budtmo/docker-android,3800
cloud-custodian,cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,3800
ScoutSuite,nccgroup,https://github.com/nccgroup/ScoutSuite,3600
grant,simov,https://github.com/simov/grant,3400
tfsec,aquasecurity,https://github.com/aquasecurity/tfsec,3400
engine,Qovery,https://github.com/Qovery/engine,3300
checkov,bridgecrewio,https://github.com/bridgecrewio/checkov,3300
azure-sdk-for-net,Azure,https://github.com/Azure/azure-sdk-for-net,2900
terraform-provider-azurerm,hashicorp,https://github.com/hashicorp/terraform-provider-azurerm,2900
azure-powershell,Azure,https://github.com/Azure/azure-powershell,2800
azure-cli,Azure,https://github.com/Azure/azure-cli,2700
MachineLearningNotebooks,Azure,https://github.com/Azure/MachineLearningNotebooks,2700
komiser,mlabouardy,https://github.com/mlabouardy/komiser,2700
openapi-directory,APIs-guru,https://github.com/APIs-guru/openapi-directory,2600
SynapseML,microsoft,https://github.com/microsoft/SynapseML,2400
SmartStoreNET,smartstore,https://github.com/smartstore/SmartStoreNET,2300
