repo_name,user_name,repo_url,no_stars
babel,babel,https://github.com/babel/babel,39800
nylas-mail,nylas,https://github.com/nylas/nylas-mail,24600
react-starter-kit,kriasoft,https://github.com/kriasoft/react-starter-kit,21000
ava,avajs,https://github.com/avajs/ava,19300
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,18300
swc,swc-project,https://github.com/swc-project/swc,15400
electron-vue,SimulatedGREG,https://github.com/SimulatedGREG/electron-vue,14400
front-end-guide,grab,https://github.com/grab/front-end-guide,14000
babel-handbook,jamiebuilds,https://github.com/jamiebuilds/babel-handbook,10400
grommet,grommet,https://github.com/grommet/grommet,7600
htm,developit,https://github.com/developit/htm,7200
generator-angular-fullstack,angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6100
documentation,documentationjs,https://github.com/documentationjs/documentation,5400
nwb,insin,https://github.com/insin/nwb,5400
poi,egoist,https://github.com/egoist/poi,5300
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5200
twin.macro,ben-rogerson,https://github.com/ben-rogerson/twin.macro,4800
babel-loader,babel,https://github.com/babel/babel-loader,4500
create-react-library,transitive-bullshit,https://github.com/transitive-bullshit/create-react-library,4500
backpack,jaredpalmer,https://github.com/jaredpalmer/backpack,4500
react,duxianwei520,https://github.com/duxianwei520/react,4300
minify,babel,https://github.com/babel/minify,4300
astexplorer,fkling,https://github.com/fkling/astexplorer,4200
babel-plugin-module-resolver,tleunen,https://github.com/tleunen/babel-plugin-module-resolver,3100
webpack-blocks,andywer,https://github.com/andywer/webpack-blocks,3000
babel-eslint,babel,https://github.com/babel/babel-eslint,3000
express-mongoose-es6-rest-api,kunalkapadia,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,2800
react-course,uidotdev,https://github.com/uidotdev/react-course,2500
react-pwa,Atyantik,https://github.com/Atyantik/react-pwa,2400
babel-plugin-macros,kentcdodds,https://github.com/kentcdodds/babel-plugin-macros,2300
