repo_name,user_name,repo_url,no_stars
the-art-of-command-line,jlevy,https://github.com/jlevy/the-art-of-command-line,97300
nvm,nvm-sh,https://github.com/nvm-sh/nvm,51800
fzf,junegunn,https://github.com/junegunn/fzf,39500
pure-bash-bible,dylanaraps,https://github.com/dylanaraps/pure-bash-bible,27800
dotfiles,mathiasbynens,https://github.com/mathiasbynens/dotfiles,26900
shellcheck,koalaman,https://github.com/koalaman/shellcheck,26200
awesome-cheatsheets,LeCoupa,https://github.com/LeCoupa/awesome-cheatsheets,23900
acme.sh,acmesh-official,https://github.com/acmesh-official/acme.sh,23800
awesome-shell,alebcay,https://github.com/alebcay/awesome-shell,22200
starship,starship,https://github.com/starship/starship,18900
linux-command,jaywcjlove,https://github.com/jaywcjlove/linux-command,16800
openvpn-install,Nyr,https://github.com/Nyr/openvpn-install,13900
neofetch,dylanaraps,https://github.com/dylanaraps/neofetch,13000
powerline,powerline,https://github.com/powerline/powerline,12800
shelljs,shelljs,https://github.com/shelljs/shelljs,12700
bash-it,Bash-it,https://github.com/Bash-it/bash-it,12500
terminalizer,faressoft,https://github.com/faressoft/terminalizer,12000
dockerfiles,jessfraz,https://github.com/jessfraz/dockerfiles,11300
navi,denisidoro,https://github.com/denisidoro/navi,9800
TabNine,codota,https://github.com/codota/TabNine,8600
m-cli,rgcr,https://github.com/rgcr/m-cli,8600
Bash-Snippets,alexanderepstein,https://github.com/alexanderepstein/Bash-Snippets,8500
mal,kanaka,https://github.com/kanaka/mal,8100
direnv,direnv,https://github.com/direnv/direnv,7900
awesome-cheatsheets,skywind3000,https://github.com/skywind3000/awesome-cheatsheets,7700
openvpn-install,angristan,https://github.com/angristan/openvpn-install,6800
PEASS-ng,carlospolop,https://github.com/carlospolop/PEASS-ng,6500
Gogh,Mayccoll,https://github.com/Mayccoll/Gogh,6300
autocomplete,withfig,https://github.com/withfig/autocomplete,6200
enquirer,enquirer,https://github.com/enquirer/enquirer,6200
