repo_name,user_name,repo_url,no_stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,57400
ccxt,ccxt,https://github.com/ccxt/ccxt,21300
ZeroNet,HelloZeroNet,https://github.com/HelloZeroNet/ZeroNet,17100
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,12500
gekko,askmike,https://github.com/askmike/gekko,9800
abu,bbfamily,https://github.com/bbfamily/abu,8400
lbry-sdk,lbryio,https://github.com/lbryio/lbry-sdk,7100
blockchain,dvf,https://github.com/dvf/blockchain,6300
blockchain_guide,yeasy,https://github.com/yeasy/blockchain_guide,5800
blackbird,butor,https://github.com/butor/blackbird,5400
lnd,lightningnetwork,https://github.com/lightningnetwork/lnd,5400
electrum,spesmilo,https://github.com/spesmilo/electrum,5200
btcd,btcsuite,https://github.com/btcsuite/btcd,4500
bitcoinjs-lib,bitcoinjs,https://github.com/bitcoinjs/bitcoinjs-lib,4300
solana,solana-labs,https://github.com/solana-labs/solana,4300
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,4100
bisq,bisq-network,https://github.com/bisq-network/bisq,3700
tribeca,michaelgrosner,https://github.com/michaelgrosner/tribeca,3600
EthList,Scanate,https://github.com/Scanate/EthList,3500
alpha_vantage,RomelTorres,https://github.com/RomelTorres/alpha_vantage,3500
Crypto-Signal,CryptoSignal,https://github.com/CryptoSignal/Crypto-Signal,3400
awesome-coins,Zheaoli,https://github.com/Zheaoli/awesome-coins,3400
CryptoList,coinpride,https://github.com/coinpride/CryptoList,3400
wallet,bitpay,https://github.com/bitpay/wallet,3300
squeezer,SqueezerIO,https://github.com/SqueezerIO/squeezer,3200
jesse,jesse-ai,https://github.com/jesse-ai/jesse,3100
blockchain_go,Jeiwan,https://github.com/Jeiwan/blockchain_go,3100
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,3000
lbrycrd,lbryio,https://github.com/lbryio/lbrycrd,2800
cointop,cointop-sh,https://github.com/cointop-sh/cointop,2700
