repo_name,user_name,repo_url,no_stars
ccxt,ccxt,https://github.com/ccxt/ccxt,21300
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,16500
hubot,hubotio,https://github.com/hubotio/hubot,16000
discord.js,discordjs,https://github.com/discordjs/discord.js,15700
InstaPy,timgrossmann,https://github.com/timgrossmann/InstaPy,13300
rasa,RasaHQ,https://github.com/RasaHQ/rasa,12800
ChatterBot,gunthercox,https://github.com/gunthercox/ChatterBot,11600
botkit,howdyai,https://github.com/howdyai/botkit,10500
botpress,botpress,https://github.com/botpress/botpress,9400
EverydayWechat,sfyc23,https://github.com/sfyc23/EverydayWechat,8500
leon,leon-ai,https://github.com/leon-ai/leon,7900
YYeTsBot,tgbot-collection,https://github.com/tgbot-collection/YYeTsBot,7800
EZFN-Lobbybot,EZFNDEV,https://github.com/EZFNDEV/EZFN-Lobbybot,6900
ailab,microsoft,https://github.com/microsoft/ailab,6800
botframework-sdk,microsoft,https://github.com/microsoft/botframework-sdk,6600
trump2cash,maxbbraun,https://github.com/maxbbraun/trump2cash,6000
node-telegram-bot-api,yagop,https://github.com/yagop/node-telegram-bot-api,5600
botman,botman,https://github.com/botman/botman,5500
DeepPavlov,deepmipt,https://github.com/deepmipt/DeepPavlov,5400
telegraf,telegraf,https://github.com/telegraf/telegraf,5000
nlp.js,axa-group,https://github.com/axa-group/nlp.js,4600
streetmerchant,jef,https://github.com/jef/streetmerchant,4500
igbot,ohld,https://github.com/ohld/igbot,4000
bottender,Yoctol,https://github.com/Yoctol/bottender,3700
PokemonGo-Bot,PokemonGoF,https://github.com/PokemonGoF/PokemonGo-Bot,3700
whatsapp-web.js,pedroslopez,https://github.com/pedroslopez/whatsapp-web.js,3600
snips-nlu,snipsco,https://github.com/snipsco/snips-nlu,3600
telegram-list,goq,https://github.com/goq/telegram-list,3300
venom,orkestral,https://github.com/orkestral/venom,3200
jesse,jesse-ai,https://github.com/jesse-ai/jesse,3100
