repo_name,user_name,repo_url,no_stars
CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,139000
project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,56500
leetcode,azl397985856,https://github.com/azl397985856/leetcode,44400
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,37400
awesome-cpp,fffaraz,https://github.com/fffaraz/awesome-cpp,33700
calculator,microsoft,https://github.com/microsoft/calculator,22800
openpose,CMU-Perceptual-Computing-Lab,https://github.com/CMU-Perceptual-Computing-Lab/openpose,22200
interview,huihut,https://github.com/huihut/interview,20700
leetcode-master,youngyangyang04,https://github.com/youngyangyang04/leetcode-master,16600
yuzu,yuzu-emu,https://github.com/yuzu-emu/yuzu,16300
C-Plus-Plus,TheAlgorithms,https://github.com/TheAlgorithms/C-Plus-Plus,16000
modern-cpp-tutorial,changkun,https://github.com/changkun/modern-cpp-tutorial,15100
vcpkg,microsoft,https://github.com/microsoft/vcpkg,13800
modern-cpp-features,AnthonyCalandra,https://github.com/AnthonyCalandra/modern-cpp-features,12700
spdlog,gabime,https://github.com/gabime/spdlog,12700
infer,facebook,https://github.com/facebook/infer,12600
Qv2ray,Qv2ray,https://github.com/Qv2ray/Qv2ray,12500
solidity,ethereum,https://github.com/ethereum/solidity,12300
Sourcetrail,CoatiSoftware,https://github.com/CoatiSoftware/Sourcetrail,12000
tink,google,https://github.com/google/tink,11600
tinyrenderer,ssloy,https://github.com/ssloy/tinyrenderer,11300
antlr4,antlr,https://github.com/antlr/antlr4,10700
openage,SFTtech,https://github.com/SFTtech/openage,10600
BackgroundMusic,kyleneideck,https://github.com/kyleneideck/BackgroundMusic,10200
OpenRCT2,OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,9900
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,9500
milewski-ctfp-pdf,hmemcpy,https://github.com/hmemcpy/milewski-ctfp-pdf,8800
TabNine,codota,https://github.com/codota/TabNine,8600
fprime,nasa,https://github.com/nasa/fprime,8500
awesome-modern-cpp,rigtorp,https://github.com/rigtorp/awesome-modern-cpp,8400
