repo_name,user_name,repo_url,no_stars
COVID-19,CSSEGISandData,https://github.com/CSSEGISandData/COVID-19,27500
covid19india-react,covid19india,https://github.com/covid19india/covid19india-react,6800
covid-19-data,nytimes,https://github.com/nytimes/covid-19-data,6600
covid19,tokyo-metropolitan-gov,https://github.com/tokyo-metropolitan-gov/covid19,6200
covid-19-data,owid,https://github.com/owid/covid-19-data,4400
COVID-19,pcm-dpc,https://github.com/pcm-dpc/COVID-19,3900
covid-chestxray-dataset,ieee8023,https://github.com/ieee8023/covid-chestxray-dataset,2700
API,disease-sh,https://github.com/disease-sh/API,2300
corona,geohot,https://github.com/geohot/corona,2100
app,WorldHealthOrganization,https://github.com/WorldHealthOrganization/app,2100
corona-cli,ahmadawais,https://github.com/ahmadawais/corona-cli,1800
cwa-server,corona-warn-app,https://github.com/corona-warn-app/cwa-server,1800
coronavirus-tracker-api,ExpDev07,https://github.com/ExpDev07/coronavirus-tracker-api,1600
awesome-coronavirus,soroushchehresa,https://github.com/soroushchehresa/awesome-coronavirus,1400
CoronaTracker,mhdhejazi,https://github.com/mhdhejazi/CoronaTracker,1400
covid19_scenarios,neherlab,https://github.com/neherlab/covid19_scenarios,1400
covid19-dashboard,github,https://github.com/github/covid19-dashboard,1400
covid19,pomber,https://github.com/pomber/covid19,1200
coronavirus,FoldingAtHome,https://github.com/FoldingAtHome/coronavirus,1100
covid-19,datasets,https://github.com/datasets/covid-19,1100
tika-python,chrismattmann,https://github.com/chrismattmann/tika-python,1100
covidpass,covidpass-org,https://github.com/covidpass-org/covidpass,1000
COVID-Net,lindawangg,https://github.com/lindawangg/COVID-Net,1000
Face-Mask-Detection,chandrikadeb7,https://github.com/chandrikadeb7/Face-Mask-Detection,1000
covid19model,ImperialCollegeLondon,https://github.com/ImperialCollegeLondon/covid19model,932
ESP32-Paxcounter,cyberman54,https://github.com/cyberman54/ESP32-Paxcounter,924
COVID-CT,UCSD-AI4H,https://github.com/UCSD-AI4H/COVID-CT,883
coronavirus-data,nychealth,https://github.com/nychealth/coronavirus-data,857
covid19-public,MoH-Malaysia,https://github.com/MoH-Malaysia/covid19-public,817
makair,makers-for-life,https://github.com/makers-for-life/makair,743
