repo_name,user_name,repo_url,no_stars
electron,electron,https://github.com/electron/electron,98100
mkcert,FiloSottile,https://github.com/FiloSottile/mkcert,32100
playwright,microsoft,https://github.com/microsoft/playwright,27800
octotree,ovity,https://github.com/ovity/octotree,21600
bypass-paywalls-chrome,iamadamdev,https://github.com/iamadamdev/bypass-paywalls-chrome,19100
nightmare,segmentio,https://github.com/segmentio/nightmare,19000
linux-command,jaywcjlove,https://github.com/jaywcjlove/linux-command,16800
headless-recorder,checkly,https://github.com/checkly/headless-recorder,13600
chromeless,prisma-archive,https://github.com/prisma-archive/chromeless,13200
WebFundamentals,google,https://github.com/google/WebFundamentals,12200
react-color,casesandberg,https://github.com/casesandberg/react-color,10100
chrome-extensions-samples,GoogleChrome,https://github.com/GoogleChrome/chrome-extensions-samples,8900
uBlock,uBlock-LLC,https://github.com/uBlock-LLC/uBlock,8100
ext-saladict,crimx,https://github.com/crimx/ext-saladict,8000
chromedp,chromedp,https://github.com/chromedp/chromedp,6800
url-to-pdf-api,alvarcarto,https://github.com/alvarcarto/url-to-pdf-api,6500
InfoSpider,kangvcar,https://github.com/kangvcar/InfoSpider,5900
metamask-extension,MetaMask,https://github.com/MetaMask/metamask-extension,5700
headless-chrome-crawler,yujiosaka,https://github.com/yujiosaka/headless-chrome-crawler,5100
simpread,Kenshin,https://github.com/Kenshin/simpread,5100
ferret,MontFerret,https://github.com/MontFerret/ferret,4600
debugger,firefox-devtools,https://github.com/firefox-devtools/debugger,4600
themer,themerdev,https://github.com/themerdev/themer,4400
polar-bookshelf,burtonator,https://github.com/burtonator/polar-bookshelf,4400
fetool,nieweidong,https://github.com/nieweidong/fetool,4300
SingleFile,gildas-lormeau,https://github.com/gildas-lormeau/SingleFile,4100
Surfingkeys,brookhong,https://github.com/brookhong/Surfingkeys,3700
bilibili-helper-o,bilibili-helper,https://github.com/bilibili-helper/bilibili-helper-o,3700
HackBrowserData,moonD4rk,https://github.com/moonD4rk/HackBrowserData,3600
melonJS,melonjs,https://github.com/melonjs/melonJS,3600
