repo_name,user_name,repo_url,no_stars
metabase,metabase,https://github.com/metabase/metabase,26200
deeplearning4j,eclipse,https://github.com/eclipse/deeplearning4j,12200
LightTable,LightTable,https://github.com/LightTable/LightTable,11600
mal,kanaka,https://github.com/kanaka/mal,8100
awesomo,lk-geimfari,https://github.com/lk-geimfari/awesomo,8100
logseq,logseq,https://github.com/logseq/logseq,6200
penpot,penpot,https://github.com/penpot/penpot,4900
datascript,tonsky,https://github.com/tonsky/datascript,4300
reagent,reagent-project,https://github.com/reagent-project/reagent,4300
riemann,riemann,https://github.com/riemann/riemann,4100
compojure,weavejester,https://github.com/weavejester/compojure,3900
clojure-style-guide,bbatsov,https://github.com/bbatsov/clojure-style-guide,3700
intellij-rainbow-brackets,izhangzhihao,https://github.com/izhangzhihao/intellij-rainbow-brackets,3600
ring,ring-clojure,https://github.com/ring-clojure/ring,3300
status-react,status-im,https://github.com/status-im/status-react,3200
cider,clojure-emacs,https://github.com/clojure-emacs/cider,3200
lein-figwheel,bhauman,https://github.com/bhauman/lein-figwheel,2900
klipse,viebel,https://github.com/viebel/klipse,2800
Rich-Hickey-fanclub,tallesl,https://github.com/tallesl/Rich-Hickey-fanclub,2800
beakerx,twosigma,https://github.com/twosigma/beakerx,2600
pedestal,pedestal,https://github.com/pedestal/pedestal,2400
hiccup,weavejester,https://github.com/weavejester/hiccup,2300
awesome-clojure,razum2um,https://github.com/razum2um/awesome-clojure,2200
babashka,babashka,https://github.com/babashka/babashka,2200
http-kit,http-kit,https://github.com/http-kit/http-kit,2200
onyx,onyx-platform,https://github.com/onyx-platform/onyx,2000
lumo,anmonteiro,https://github.com/anmonteiro/lumo,1800
defold,defold,https://github.com/defold/defold,1800
boot,boot-clj,https://github.com/boot-clj/boot,1700
lacinia,walmartlabs,https://github.com/walmartlabs/lacinia,1600
