repo_name,user_name,repo_url,no_stars
infer,facebook,https://github.com/facebook/infer,12600
static-analysis,analysis-tools-dev,https://github.com/analysis-tools-dev/static-analysis,9000
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,6300
awesome-guidelines,Kristories,https://github.com/Kristories/awesome-guidelines,6300
sonarqube,SonarSource,https://github.com/SonarSource/sonarqube,6100
pyre-check,facebook,https://github.com/facebook/pyre-check,5600
simplecov,simplecov-ruby,https://github.com/simplecov-ruby/simplecov,4300
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,4300
detekt,detekt,https://github.com/detekt/detekt,4000
grumphp,phpro,https://github.com/phpro/grumphp,3600
pylint,PyCQA,https://github.com/PyCQA/pylint,3600
pmd,pmd,https://github.com/pmd/pmd,3600
HTMLHint,htmlhint,https://github.com/htmlhint/HTMLHint,2700
jscpd,kucherenko,https://github.com/kucherenko/jscpd,2300
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,2200
state-of-the-art-shitcode,trekhleb,https://github.com/trekhleb/state-of-the-art-shitcode,2100
piranha,uber,https://github.com/uber/piranha,1800
wemake-python-styleguide,wemake-services,https://github.com/wemake-services/wemake-python-styleguide,1600
cross-platform-node-guide,ehmicky,https://github.com/ehmicky/cross-platform-node-guide,1200
typewiz,urish,https://github.com/urish/typewiz,1100
feflow,Tencent,https://github.com/Tencent/feflow,1000
phpqa,jakzal,https://github.com/jakzal/phpqa,944
unused,joshuaclayton,https://github.com/joshuaclayton/unused,876
Imgbot,imgbot,https://github.com/imgbot/Imgbot,808
SonarTS,SonarSource,https://github.com/SonarSource/SonarTS,775
pdepend,pdepend,https://github.com/pdepend/pdepend,767
SonarJS,SonarSource,https://github.com/SonarSource/SonarJS,758
android-guidelines,bufferapp,https://github.com/bufferapp/android-guidelines,758
sourcery,sourcery-ai,https://github.com/sourcery-ai/sourcery,641
ComposerRequireChecker,maglnet,https://github.com/maglnet/ComposerRequireChecker,613
