repo_name,user_name,repo_url,no_stars
httpie,httpie,https://github.com/httpie/httpie,52200
fzf,junegunn,https://github.com/junegunn/fzf,39500
bat,sharkdp,https://github.com/sharkdp/bat,29600
dive,wagoodman,https://github.com/wagoodman/dive,27800
ripgrep,BurntSushi,https://github.com/BurntSushi/ripgrep,27400
sherlock,sherlock-project,https://github.com/sherlock-project/sherlock,27200
cheat.sh,chubin,https://github.com/chubin/cheat.sh,27200
cli,cli,https://github.com/cli/cli,25600
angular-cli,angular,https://github.com/angular/angular-cli,25000
cobra,spf13,https://github.com/spf13/cobra,23400
awesome-shell,alebcay,https://github.com/alebcay/awesome-shell,22200
lazygit,jesseduffield,https://github.com/jesseduffield/lazygit,21300
python-fire,google,https://github.com/google/python-fire,20200
tqdm,tqdm,https://github.com/tqdm/tqdm,19600
ava,avajs,https://github.com/avajs/ava,19300
fd,sharkdp,https://github.com/sharkdp/fd,19100
pkg,vercel,https://github.com/vercel/pkg,18900
n8n,n8n-io,https://github.com/n8n-io/n8n,18000
chalk,chalk,https://github.com/chalk/chalk,17200
ink,vadimdemedes,https://github.com/vadimdemedes/ink,16900
svgo,svg,https://github.com/svg/svgo,16800
cli,urfave,https://github.com/urfave/cli,16600
modern-unix,ibraheemdev,https://github.com/ibraheemdev/modern-unix,16500
.tmux,gpakosz,https://github.com/gpakosz/.tmux,15100
webpack-dashboard,FormidableLabs,https://github.com/FormidableLabs/webpack-dashboard,13800
goaccess,allinurl,https://github.com/allinurl/goaccess,13800
ignite,infinitered,https://github.com/infinitered/ignite,13000
git-history,pomber,https://github.com/pomber/git-history,12600
nnn,jarun,https://github.com/jarun/nnn,12300
asdf,asdf-vm,https://github.com/asdf-vm/asdf,11900
