repo_name,user_name,repo_url,no_stars
next.js,vercel,https://github.com/vercel/next.js,73800
webpack,webpack,https://github.com/webpack/webpack,59400
rust,rust-lang,https://github.com/rust-lang/rust,59200
gatsby,gatsbyjs,https://github.com/gatsbyjs/gatsby,51500
svelte,sveltejs,https://github.com/sveltejs/svelte,50800
babel,babel,https://github.com/babel/babel,39800
parcel,parcel-bundler,https://github.com/parcel-bundler/parcel,39000
kotlin,JetBrains,https://github.com/JetBrains/kotlin,38900
esbuild,evanw,https://github.com/evanw/esbuild,27600
marked,markedjs,https://github.com/markedjs/marked,26000
v,vlang,https://github.com/vlang/v,25500
pkg,vercel,https://github.com/vercel/pkg,18900
v8,v8,https://github.com/v8/v8,18400
swc,swc-project,https://github.com/swc-project/swc,15400
assemblyscript,AssemblyScript,https://github.com/AssemblyScript/assemblyscript,12700
bytecode-viewer,Konloch,https://github.com/Konloch/bytecode-viewer,12500
Nim,nim-lang,https://github.com/nim-lang/Nim,11900
zig,ziglang,https://github.com/ziglang/zig,10600
gopherjs,gopherjs,https://github.com/gopherjs/gopherjs,10500
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,9500
RustPython,RustPython,https://github.com/RustPython/RustPython,9300
tvm,apache,https://github.com/apache/tvm,7200
kotlin-native,JetBrains,https://github.com/JetBrains/kotlin-native,7100
numba,numba,https://github.com/numba/numba,6900
compiler,elm,https://github.com/elm/compiler,6600
awesome-compilers,aalhour,https://github.com/aalhour/awesome-compilers,6300
Nuitka,Nuitka,https://github.com/Nuitka/Nuitka,5900
acwj,DoctorWkt,https://github.com/DoctorWkt/acwj,5600
rescript-compiler,rescript-lang,https://github.com/rescript-lang/rescript-compiler,5500
lebab,lebab,https://github.com/lebab/lebab,5500
