repo_name,user_name,repo_url,no_stars
localstack,localstack,https://github.com/localstack/localstack,34300
drone,drone,https://github.com/drone/drone,24000
jenkins,jenkinsci,https://github.com/jenkinsci/jenkins,17900
volkswagen,auchenberg,https://github.com/auchenberg/volkswagen,12000
origin,openshift,https://github.com/openshift/origin,8000
gocd,gocd,https://github.com/gocd/gocd,6300
concourse,concourse,https://github.com/concourse/concourse,5900
buildbot,buildbot,https://github.com/buildbot/buildbot,4700
onedev,theonedev,https://github.com/theonedev/onedev,4600
strider,Strider-CD,https://github.com/Strider-CD/strider,4500
gaia,gaia-pipeline,https://github.com/gaia-pipeline/gaia,4500
jx,jenkins-x,https://github.com/jenkins-x/jx,4000
hygieia,hygieia,https://github.com/hygieia/hygieia,3700
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,3600
cds,ovh,https://github.com/ovh/cds,3600
cake,cake-build,https://github.com/cake-build/cake,3100
awesome-ci,ligurio,https://github.com/ligurio/awesome-ci,2700
werf,werf,https://github.com/werf/werf,2700
PHPCI,dancryer,https://github.com/dancryer/PHPCI,2400
tox,tox-dev,https://github.com/tox-dev/tox,2400
ModernCppStarter,TheLartians,https://github.com/TheLartians/ModernCppStarter,2200
syncd,dreamans,https://github.com/dreamans/syncd,2000
hound,houndci,https://github.com/houndci/hound,1900
setup-php,shivammathur,https://github.com/shivammathur/setup-php,1800
fabric8,fabric8io,https://github.com/fabric8io/fabric8,1800
lastbackend,lastbackend,https://github.com/lastbackend/lastbackend,1500
nuke,nuke-build,https://github.com/nuke-build/nuke,1300
flow-core-x,FlowCI,https://github.com/FlowCI/flow-core-x,1300
tbls,k1LoW,https://github.com/k1LoW/tbls,1100
churn-php,bmitch,https://github.com/bmitch/churn-php,1100
